lumen_frac,nuclei_frac,epithelial_frac,stroma_frac,epi_stroma_ratio,crowding_index,texture_entropy,glcm_energy,glcm_contrast,glcm_homogeneity,glcm_correlation,path
0.0074125807526864654,0.0376184505007857,0.02860272059173664,0.9690004920556816,0.029517756519459613,0.037899344553417244,5.756391329257806,0.25715118921921876,0.24265338645418327,0.8995633466135459,0.8983457667834575,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1125_4416.tif
0.0483801844415168,0.034904207869716354,0.029443977079728893,0.945794511198235,0.031131473836135484,0.03667869312971251,5.996601670355154,0.22899812298217484,0.27063745019920316,0.8987297097324985,0.9103592090182377,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1125_791.tif
0.13177568610022064,0.026650370629037634,0.021063157727655116,0.8843827875748004,0.023816788412871766,0.030695224157117732,6.098082291115284,0.17527372619482232,0.22110756972111556,0.906688844621514,0.9316780243257791,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1250_6916.tif
0.00884112950588086,0.04641196171489342,0.035047062745035794,0.9620640942207267,0.03642903103397013,0.04682590881303118,5.699223028794846,0.3277693590577927,0.21368127490039834,0.9061330677290835,0.9123390244191878,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1375_5541.tif
0.10745861176806717,0.03550737289884288,0.03636450215075951,0.8758273678195584,0.04152017108267713,0.039782281902801975,5.726956739044982,0.2550192911541087,0.22955378486055775,0.9104745019920318,0.9197213892414512,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1500_916.tif
0.021698068284630403,0.012317264805320551,0.00936493071538547,0.9782701861875208,0.009572949117341486,0.012590440451530991,5.272847099914407,0.30343890043015187,0.1639601593625498,0.9282841965471448,0.8853184209515629,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1625_3666.tif
0.03236456564181521,0.061745051665846575,0.05920540943794543,0.9262868843351693,0.06391692513323056,0.06381017650167432,5.980586696754566,0.2255426405295154,0.4022709163346614,0.8662276228419655,0.9083529621655843,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1625_6041.tif
0.03553911842669164,0.02453929302709481,0.02425358327645593,0.9608260186346248,0.02524242974906208,0.025443507406497316,5.671248905380825,0.31720515575943226,0.2041434262948207,0.9159324037184595,0.9251149840802662,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1750_8666.tif
0.009476040062856145,0.01828542404088824,0.01446008793511214,0.981555848319868,0.014731803554391004,0.01846033646850109,5.695542746878408,0.22609250303963432,0.19247011952191234,0.9231548472775565,0.9517470901353129,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1875_3791.tif
0.07298296852430913,0.02130124918652085,0.0176981317756861,0.9384136759733972,0.0188596268669336,0.022978246876829415,5.911987750319954,0.21059628221774257,0.2571872509960159,0.8930644090305444,0.9113153099042638,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_1875_5416.tif
0.03596768305264996,0.026237678767003697,0.024237710512531548,0.9569213187092268,0.02532884369764584,0.027216568458532483,5.540051926747858,0.2735771252837257,0.2685019920318725,0.8959374501992031,0.8788740744598542,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2000_4791.tif
0.09315725147219886,0.023840891414421993,0.02042824717067983,0.9220964746591324,0.022154132167386396,0.026289966108412888,5.84845718914995,0.21377071919493343,0.2733227091633466,0.8959902485296908,0.9014493306889338,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2000_5791.tif
0.030126505928477324,0.019666354502309486,0.016983857399088902,0.9712385517690195,0.017486803183578464,0.020277215889811,5.3441603092289025,0.38328775292455675,0.19699601593625496,0.9163468791500665,0.8925387716886919,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2000_8166.tif
0.039126363073602004,0.025031348708750654,0.020523483754226125,0.9621275852764242,0.021331353625339913,0.026050587399017826,5.562719432335387,0.26357115309280804,0.25754581673306776,0.8966743691899071,0.8947843796421905,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2125_5791.tif
0.03890414437866065,0.011602990428723354,0.01106331645529436,0.9742385041507278,0.011355860406008483,0.012072654655832932,5.256761873749416,0.4078293695655625,0.1678565737051793,0.9281601593625498,0.8852859216647244,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2125_7916.tif
0.032983603434866116,0.03187250996015936,0.028475738480341583,0.9590165235472453,0.029692646352967946,0.03295960349148959,5.722199885693654,0.2544452870589356,0.25452589641434265,0.8978855435401251,0.9136396960728184,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2250_5916.tif
0.027317026713861686,0.02752337264487865,0.02544404057078459,0.9632386787511309,0.02641509433962221,0.028296315556524534,5.537468455681239,0.3402969016682274,0.2057450199203187,0.9146405046480743,0.9129049882101231,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2250_7541.tif
0.09988730337613688,0.04180886017682259,0.06941159664132315,0.8857637180362217,0.07836355816787187,0.046448421275710854,5.7765679765132685,0.26431454878493993,0.3048764940239044,0.8902433124644279,0.9044718606795819,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_2375_6416.tif
0.02892017587022428,0.02544404057078459,0.01955524515483881,0.967143378676529,0.020219592653985326,0.026201774289576783,5.832322943734217,0.239445705369756,0.22689243027888448,0.8995067918800987,0.9036273119169808,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_1_875_5041.tif
0.33677243218361613,0.01312677576546404,0.01326963064078348,0.7875748003999936,0.016848724253294835,0.019792235139512584,5.6333419122017,0.2908977022586943,0.17408764940239044,0.9238950863213812,0.9249966124342056,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1084_2529.tif
0.31107442739004143,0.023586927191631878,0.022825034523261536,0.7120998079395565,0.03205313955820984,0.034237215008668,5.585645479887201,0.2313173734067713,0.1447729083665339,0.9338730411686588,0.941821179327934,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1334_529.tif
0.23964698973032175,0.015380708242726306,0.013571213155346741,0.8261614895001667,0.01642682856538999,0.020228351577012343,5.814181628139044,0.2285551910922049,0.15976892430278886,0.9298701195219123,0.9313503540857878,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1334_654.tif
0.11934731194742941,0.01893620736178791,0.018904461833939144,0.9108585578006698,0.020754552583427364,0.021502444852825636,5.900294833178744,0.24059029202711063,0.18994422310756973,0.917867197875166,0.9169877218306035,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1459_1279.tif
0.1855208647481786,0.0340629513817241,0.03704703099950794,0.854875319439374,0.04333618032604175,0.04182170921970061,5.657578023728028,0.28685113515658484,0.21352191235059761,0.9116762284196548,0.9063213948943715,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1459_2279.tif
0.10960143489785877,0.038840653322963124,0.04104696750845225,0.9290804907858605,0.04418020603761905,0.0436215996113021,5.7204480168549905,0.27010093366771953,0.198597609561753,0.9163277556440903,0.9323094829980068,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1709_2154.tif
0.1357121315534674,0.0381581244742147,0.04357073697242901,0.9335407374486119,0.0466725609548739,0.0441497349639593,5.5034987997503135,0.2676344161838701,0.19989641434262947,0.917075962815405,0.9236821081028446,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_1709_2404.tif
0.19312391866795764,0.05331661402199965,0.05096744496119109,0.8508595101665053,0.05990112862605989,0.06607774003691033,6.076513863507426,0.19636786495452455,0.21697211155378485,0.9044426294820717,0.9286406994945805,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_2459_3654.tif
0.05871335375628958,0.06631640767606864,0.06720528245583403,0.9159060967286233,0.07337573436389662,0.07045286097263678,5.823191349426798,0.26338403069792543,0.21892430278884462,0.9025610889774237,0.9184780234561676,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_2709_2654.tif
0.06772908366533864,0.055776892430278883,0.05972921064745004,0.9216044189774766,0.06481003065688291,0.059828995653513205,5.739492863569164,0.2953762946937351,0.24281274900398406,0.9006467463479416,0.9109024554070385,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_2709_2779.tif
0.07566546562752972,0.06652275360708561,0.07537975587689084,0.8996206409422073,0.08379060289005975,0.07196818810200539,5.824628272873517,0.2548193770892525,0.24890039840637448,0.8945863213811421,0.90316155013523,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_2959_1779.tif
0.1254107077665434,0.058951445215155315,0.057094331836002606,0.9266837034332789,0.061611455585624655,0.06740464162323363,5.8223380120407375,0.22178609993492168,0.19743426294820718,0.9093552456839309,0.9257386515037773,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_3084_3779.tif
0.0997761940286662,0.08157013380739989,0.07658608593514389,0.8961603784066919,0.08546024548787465,0.09061084883057238,6.0944045598500445,0.18646616901319027,0.2528446215139442,0.8899865869853917,0.9317031086554964,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_3209_2904.tif
0.7982412977571784,0.0014761670449675401,0.0017777495595308012,0.2668370343327884,0.006662304443518728,0.007316461258408013,3.378162917000709,0.7005869081125696,0.046,0.9774674634794156,0.9389895446193716,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_3459_4404.tif
0.15223567879874922,0.06466564022793289,0.0680306661799019,0.8428596371486167,0.08071411084536863,0.07627776061458161,6.125427684986454,0.19155629507468136,0.23335458167330678,0.8973050464807436,0.9308921608824687,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_3709_1154.tif
0.21907588768432248,0.05071348073840098,0.04799923810733163,0.8182885985936731,0.05865808003413849,0.0649402611577188,6.120822619411774,0.1788351810923636,0.24056573705179282,0.8928456839309429,0.9281749830958733,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_3834_3154.tif
0.27136077205123726,0.033047094490563644,0.03323756765765623,0.786384343105665,0.04226631411097345,0.045354474297413454,5.957084552866844,0.22140592523928193,0.19725099601593626,0.9192625498007969,0.9426150815136503,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_834_1529.tif
0.5601022205996731,0.010793479468579864,0.015380708242726306,0.5411977587657338,0.028419755983105692,0.02453627964890835,4.833890707241184,0.43406236151807115,0.14636653386454185,0.938189641434263,0.890677721290058,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_2_834_3279.tif
0.15290233488357327,0.051919810796654024,0.0432215361660926,0.8397803209472865,0.05146766968453983,0.06129133822860891,6.103204639975637,0.1723200106030063,0.2627888446215139,0.8914756972111553,0.924503650588281,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_1048_3520.tif
0.0347772257583213,0.06779257472103617,0.061967270360787925,0.9271916318788591,0.0668332933885701,0.07023508592533056,6.14645562399058,0.18962814523578989,0.3387171314741036,0.8736907038512616,0.9179484346132615,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_1173_4395.tif
0.16304503103125348,0.05501499976190854,0.057729242392977886,0.8397327026555134,0.0687471646756376,0.06573225092079234,6.117228641064729,0.1816423895176267,0.34082868525896415,0.879619920318725,0.9099114003592762,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_1298_2645.tif
0.22683766924334534,0.04365010079205092,0.0381581244742147,0.7893208044316757,0.048342985842984874,0.05645650673749988,6.0838985055422885,0.1897388983666926,0.20281274900398405,0.910110491367862,0.9426650183622499,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_1423_2895.tif
0.14236281963778352,0.062046634180409836,0.07744321518706053,0.8227964635481977,0.09412195921831715,0.07234593282006749,6.058058091470603,0.21937023875811493,0.21475697211155376,0.9090897742363877,0.9276085033171781,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_1923_520.tif
0.14352153140426344,0.0628720179044777,0.0731893144553261,0.8314312471230615,0.08802810179263305,0.07340750153364584,6.25848211085349,0.16225362225996412,0.26675697211155375,0.8899944223107571,0.9289238115573183,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_2173_1770.tif
0.08077649561118078,0.06293550896017523,0.07161791082681228,0.8850018253678513,0.08092402611378002,0.06846587385311301,6.051204130522273,0.22123363318042574,0.22513147410358564,0.9058420982735724,0.9347877217372063,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_2423_2020.tif
0.38948588117648925,0.032110601419025095,0.0750623005984032,0.5979746353232488,0.12552756616143856,0.05259591520174573,5.554692243885178,0.2611448947159569,0.16027888446215138,0.9337622841965473,0.9444291538470558,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_2548_4145.tif
0.2614085490706497,0.033539150172219485,0.034904207869716354,0.7713210901414264,0.04525250030867915,0.04540954910927956,6.067141580215816,0.1875756324820241,0.2457051792828685,0.904407304116866,0.9338676695484855,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_3_298_4020.tif
0.15080713004555482,0.0408247488135109,0.06049110331582038,0.8874938493039793,0.0681594620213534,0.04807470974290115,5.330061773731648,0.29489797406390367,0.21317928286852592,0.9079361221779549,0.886222712815427,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_1212_3716.tif
0.16348946842113618,0.019285408168124317,0.024063110109363343,0.9597466706877669,0.025072355908376334,0.023054563434079984,4.697843965051811,0.35622993650894436,0.17196015936254977,0.9241306772908366,0.862822313378533,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_1712_3341.tif
0.09288741448548436,0.014920398088919224,0.019126680528880495,0.966730686814495,0.019784910926852972,0.016448213682585693,4.933788990359213,0.34238054878494,0.1694581673306773,0.9192598937583002,0.8398779878264653,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_1962_3966.tif
0.1727274170251266,0.02072982968524309,0.02684084379613022,0.9335089919207632,0.028752635516560758,0.025058009964126597,4.844306599568028,0.34889865306899887,0.1616414342629482,0.9264427622841966,0.8689732363216744,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_2087_2841.tif
0.1097442897731782,0.01741242202504722,0.01961873621053634,0.9653973746448469,0.02032192828134986,0.019558877596789852,4.868718643908263,0.3674863008206219,0.1513386454183267,0.9289926958831339,0.8622316793199559,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_2337_2341.tif
0.18193362010126823,0.02447580197139728,0.029158267329090014,0.9332867732258218,0.031242559270722964,0.029919053824670444,5.092417970308036,0.33501194422310754,0.16608764940239043,0.9259127490039841,0.882598109345649,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_2337_3216.tif
0.06382438373994063,0.01938064475167061,0.022507579244773892,0.9657624482151077,0.023305502596804563,0.020701910745319112,5.200380831253698,0.3605259473659148,0.15253386454183265,0.9280444887118197,0.8736413365128366,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_2462_3966.tif
0.08614148981762194,0.030713798193679465,0.03847557975270234,0.9329375724194854,0.04124132298897439,0.033608883916467575,5.427425223360194,0.32492469008428426,0.1758645418326693,0.9199005312084992,0.886867328496275,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_2962_3966.tif
0.2907572895668323,0.0194758813352169,0.0300630148727798,0.9393501690449358,0.032004055424129235,0.027460069153552424,4.76259152525419,0.40363054862621217,0.14026294820717133,0.9339386454183268,0.864334763995552,Data/SetA/251_Test_A/Stroma/11257_14_A13_Scan1_Stroma_4_3462_3091.tif
